id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.INR.price,quote.INR.volume_24h,quote.INR.volume_change_24h,quote.INR.percent_change_1h,quote.INR.percent_change_24h,quote.INR.percent_change_7d,quote.INR.percent_change_30d,quote.INR.percent_change_60d,quote.INR.percent_change_90d,quote.INR.market_cap,quote.INR.market_cap_dominance,quote.INR.fully_diluted_market_cap,quote.INR.tvl,quote.INR.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19775209.0,19775209.0,False,,1,,,,2024-10-30T09:45:00.000Z,6086820.286862069,4425316259527.147,10.3207,0.01821562,1.69823566,8.95571277,13.39763841,22.87280491,12.23958791,120368143318137.36,58.679,127823226024103.12,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1027,Ethereum,ETH,ethereum,9468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120406284.16331623,120406284.16331623,True,,2,,,,2024-10-30T09:45:00.000Z,225089.670161627,1780662912926.3315,-2.3541,0.40263999,2.05676503,3.86038608,2.03795959,6.46401565,-15.87665509,27102210787707.984,13.2094,27102210787708.195,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
825,Tether USDt,USDT,tether,101955,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120504138281.46748,122337925861.4382,True,,3,,,,2024-10-30T09:45:00.000Z,84.05946714821103,6722413199555.904,1.7316,0.0082019,0.05225369,0.05543255,-0.01952773,-0.04693851,0.0265911,10129513653094.494,4.937,10283660859929.852,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-30 15:17:28.520713
1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145930956.96229658,145930956.96229658,False,,4,,,,2024-10-30T09:45:00.000Z,50616.110705237574,152813514836.01666,1.8163,-0.28577541,-0.67845471,3.42818324,4.29041115,12.50721274,5.46049795,7386457472924.864,3.6001,7386457472924.676,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
5426,Solana,SOL,solana,775,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470383825.344463,587539995.0246814,True,,5,,,,2024-10-30T09:45:00.000Z,14971.429746113765,280797991713.64056,-16.5697,-0.21888679,-1.56897018,7.51772866,14.36458012,30.53724557,5.47809452,7042318394852.875,3.4322,8796313758544.32,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
3408,USDC,USDC,usd-coin,22738,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34877594170.66209,34877594170.66209,False,,6,,,,2024-10-30T09:45:00.000Z,84.07384340482649,744544929960.0823,3.1954,0.00498472,-0.00817506,0.00995764,0.00424122,-0.03701274,-0.00939018,2932293390641.3335,1.4291,2932293390641.485,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-30 15:17:28.520713
52,XRP,XRP,xrp,1413,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56811862950.0,99987068281.0,False,,7,,,,2024-10-30T09:45:00.000Z,44.135449300934226,84768364015.48691,1.4685,0.19630971,0.31684688,-0.13070643,-18.73029481,-7.32741536,-13.43810745,2507417096921.348,1.222,4413544930093.575,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
74,Dogecoin,DOGE,dogecoin,1090,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146580566383.70514,146580566383.70514,True,,8,,,,2024-10-30T09:45:00.000Z,14.374659753783686,282975816304.8332,-11.1021,-1.05181858,3.94167433,24.58397531,40.81568255,69.84386824,41.23726926,2107045768282.664,1.0272,2107045768282.8086,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1958,TRON,TRX,tron,1059,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86471673812.47273,86471742078.4682,True,,9,71659659264.0,12029853368.255648,,2024-10-30T09:45:00.000Z,14.114999435226744,37192113799.70515,43.4688,-0.0264334,2.28034182,4.94205449,8.08423309,6.91001447,29.91812852,1220547627026.164,0.5948,1220548590600.9866,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
11419,Toncoin,TON,toncoin,589,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2543835577.798374,5114150094.730156,True,,10,3414166606.0,17278783184.216995,,2024-10-30T09:45:00.000Z,425.52366224039525,18946378624.042034,37.5757,0.34040425,0.66453848,-2.02855941,-12.89236304,-4.99922911,-25.63706386,1082462231202.1761,0.5276,2176191877556.4683,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
2010,Cardano,ADA,cardano,1309,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34986894172.872856,44995214670.62046,False,,11,,,,2024-10-30T09:45:00.000Z,29.936339842270346,26225823816.149143,4.7671,-0.44964355,2.7834318,-0.71083254,-7.99308296,2.93858905,-7.87760006,1047379553984.6699,0.5105,1347135292902.3257,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
5994,Shiba Inu,SHIB,shiba-inu,894,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589266952185532.2,589518258758401.4,False,,12,,,,2024-10-30T09:45:00.000Z,0.0015661807276993597,62597314234.05471,36.6838,-0.36616702,1.19330405,4.93520734,0.78949155,34.51425034,17.05363334,922898543983.1207,0.4498,923292135494.2778,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-10-30 15:17:28.520713
5805,Avalanche,AVAX,avalanche,796,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407082906.3190291,447086006.3190291,False,,13,,,,2024-10-30T09:45:00.000Z,2218.744860259181,25158627383.8151,11.2404,0.00891445,-0.65320529,-1.44710154,-7.53493102,15.51012918,3.9085754,903213106094.7156,0.4403,1588063791517.945,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1975,Chainlink,LINK,chainlink,1870,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-10-30T09:45:00.000Z,1003.9969042313603,23460611027.204884,3.6874,0.21164484,3.89823107,4.57932441,-1.82139931,7.93683544,-7.76255497,629355429752.1174,0.3068,1003996904231.1473,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-10-30 15:17:28.520713
1831,Bitcoin Cash,BCH,bitcoin-cash,939,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19781315.625,19781315.625,False,,15,,,,2024-10-30T09:45:00.000Z,31369.726946352213,33347739003.268494,-9.0635,-0.51135419,-2.53837828,6.2081891,7.6962136,15.73282072,-10.28590484,620534469795.8606,0.3025,658764265873.5813,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19775209.0,19775209.0,False,,1,,,,2024-10-30T09:46:00.000Z,6085837.707239331,4425463628620.691,10.3243,0.00135548,1.68491025,8.9353676,13.3460157,22.85494159,12.26339922,120348712600738.6,58.6534,127802591852026.0,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
1027,Ethereum,ETH,ethereum,9468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120406284.16331623,120406284.16331623,True,,2,,,,2024-10-30T09:46:00.000Z,225122.69107711845,1780859221795.0173,-2.2937,0.44097796,2.0666004,3.86370668,2.03502768,6.47115477,-15.83009655,27106186713441.977,13.2105,27106186713441.664,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
825,Tether USDt,USDT,tether,101955,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120504138281.46748,122337925861.4382,True,,3,,,,2024-10-30T09:46:00.000Z,84.04813335328026,6721822170401.88,1.7195,-0.01018058,0.03045512,0.0413859,-0.03608408,-0.06065164,0.01254066,10128147883902.904,4.9361,10282274306965.828,,2024-10-30T09:46:59.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-30 15:18:28.905530
1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145930956.96229658,145930956.96229658,False,,4,,,,2024-10-30T09:46:00.000Z,50567.153426137476,152896465875.28992,1.872,-0.35458757,-0.79097704,3.33599851,4.22771539,12.44524583,5.38118895,7379313090335.517,3.5964,7379313090335.221,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
5426,Solana,SOL,solana,775,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470383825.344463,587539995.0246814,True,,5,,,,2024-10-30T09:46:00.000Z,14945.503321418375,280868739688.3977,-16.555,-0.35840064,-1.73946854,7.32078451,14.07654451,30.32236476,5.3671397,7030123024027.153,3.4262,8781080947107.572,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
3408,USDC,USDC,usd-coin,22738,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34877594170.66209,34877594170.66209,False,,6,,,,2024-10-30T09:46:00.000Z,84.06042448069576,744641495834.8552,3.2214,-0.01820997,-0.03258883,-0.01078338,-0.0138884,-0.04538168,-0.03472833,2931825370851.295,1.4289,2931825370851.1416,,2024-10-30T09:46:59.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-30 15:18:28.905530
52,XRP,XRP,xrp,1413,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56811862950.0,99987068281.0,False,,7,,,,2024-10-30T09:46:00.000Z,44.11238341624111,84782482865.97943,1.4743,0.16014911,0.22455601,-0.18373864,-18.55938212,-7.37103962,-13.44073562,2506106681041.343,1.2214,4411238341624.049,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
74,Dogecoin,DOGE,dogecoin,1090,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146580566383.70514,146580566383.70514,True,,8,,,,2024-10-30T09:46:00.000Z,14.35357760095351,282893394815.90784,-11.1523,-1.11371221,3.78077241,24.37836484,40.49952793,69.69373524,41.13767,2103955534380.2292,1.0257,2103955534380.3286,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
1958,TRON,TRX,tron,1059,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86471673812.47273,86471742078.4682,True,,9,71659659264.0,12025548798.138977,,2024-10-30T09:46:00.000Z,14.1099487498272,37206355665.355446,43.582,-0.05707629,2.24838249,4.89555197,8.05238524,6.87850364,29.89805174,1220110885805.7651,0.5946,1220111849035.5151,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
11419,Toncoin,TON,toncoin,589,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2543835577.798374,5114150094.730156,True,,10,3414166606.0,17277080700.98627,,2024-10-30T09:46:00.000Z,425.48173527762725,18965564730.303596,37.5383,0.45073434,0.58260913,-2.10455784,-12.88527735,-4.96220831,-25.67748779,1082355575902.6178,0.5275,2175977456776.2666,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
2010,Cardano,ADA,cardano,1309,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34986894172.872856,44995214670.62046,False,,11,,,,2024-10-30T09:46:00.000Z,29.911313894372434,26223799104.183388,4.7686,-0.46753344,2.70927884,-0.80995398,-8.06195627,2.85040854,-7.93471874,1046503973793.9897,0.51,1346009125246.7913,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
5994,Shiba Inu,SHIB,shiba-inu,894,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589266952185532.2,589518258758401.4,False,,12,,,,2024-10-30T09:46:00.000Z,0.0015637671892148833,62583401844.30035,36.6373,-0.35676956,1.11573834,4.75239537,0.60547826,34.37434528,16.9600198,921476325516.3907,0.4491,921869310489.722,,2024-10-30T09:46:59.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-10-30 15:18:28.905530
5805,Avalanche,AVAX,avalanche,796,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407082906.3190291,447086006.3190291,False,,13,,,,2024-10-30T09:46:00.000Z,2214.4050849104547,25158276841.89248,11.2321,-0.08648715,-0.84129588,-1.65297986,-7.69026884,15.29925084,3.73603267,901446457732.9843,0.4395,1584957602871.9905,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
1975,Chainlink,LINK,chainlink,1870,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-10-30T09:46:00.000Z,1002.557982458424,23460335635.68293,3.6794,0.12777437,3.77202091,4.45260234,-1.91592424,7.82702924,-7.85426549,628453441681.2686,0.3064,1002557982458.5452,,2024-10-30T09:46:59.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-10-30 15:18:28.905530
1831,Bitcoin Cash,BCH,bitcoin-cash,939,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19781315.625,19781315.625,False,,15,,,,2024-10-30T09:46:00.000Z,31339.442125590085,33343521020.773262,-9.0982,0.18209514,-2.64005511,6.08477572,7.67037234,15.64854847,-10.33902415,619935396197.7184,0.3022,658128284637.4813,,2024-10-30T09:46:59.000Z,,,,,,2024-10-30 15:18:28.905530
